,index,zeit,kapazitaet,ladezustand,ladetyp,nr
205,569,2023-01-01 17:50:00,720,0.08775021827314043,NCS,2
206,570,2023-01-01 11:05:00,720,0.2769102493876046,MCS,2
207,571,2023-01-01 22:25:00,840,0.135911915893025,NCS,3
208,572,2023-01-01 20:35:00,600,0.051716330290773396,MCS,1
209,573,2023-01-01 23:10:00,840,0.34343983533406497,NCS,3
210,574,2023-01-01 20:25:00,960,0.3357940064454292,MCS,4
211,575,2023-01-01 14:10:00,600,0.08042075197776731,MCS,1
212,576,2023-01-01 15:45:00,720,0.14968160951009551,MCS,2
213,578,2023-01-01 23:00:00,720,0.3866172620425782,NCS,2
214,580,2023-01-01 20:00:00,600,0.05037052937512615,NCS,1
215,581,2023-01-01 10:55:00,960,0.12957894384007568,MCS,4
216,582,2023-01-01 21:00:00,840,0.21878748165295098,NCS,3
217,583,2023-01-01 19:50:00,840,0.13723547725430818,MCS,3
218,584,2023-01-01 13:55:00,720,0.13241114205152787,MCS,2
219,585,2023-01-01 20:00:00,960,0.10010350818917459,NCS,4
220,586,2023-01-01 18:25:00,840,0.32691110504288673,NCS,3
221,587,2023-01-01 20:30:00,720,0.2344929724571982,MCS,2
222,588,2023-01-01 11:15:00,840,0.2151108353804992,MCS,3
223,589,2023-01-01 10:30:00,960,0.05681010014093969,MCS,4
224,590,2023-01-01 21:05:00,960,0.24984920591649085,NCS,4
225,591,2023-01-01 21:00:00,960,0.1406896804052757,NCS,4
226,593,2023-01-01 19:15:00,720,0.33597009580328097,NCS,2
227,594,2023-01-01 13:35:00,960,0.3193473684249222,MCS,4
228,596,2023-01-01 21:45:00,600,0.2926818117133522,NCS,1
229,597,2023-01-01 12:55:00,720,0.30369820849134366,MCS,2
230,598,2023-01-01 18:55:00,840,0.15192038987017883,MCS,3
231,599,2023-01-01 21:05:00,960,0.3497976031617424,NCS,4
232,600,2023-01-01 13:40:00,960,0.32605296680179285,MCS,4
233,601,2023-01-01 19:15:00,720,0.36020675846642136,MCS,2
234,602,2023-01-01 14:40:00,840,0.07811149555853462,MCS,3
235,603,2023-01-01 20:30:00,720,0.20646756033178704,NCS,2
236,604,2023-01-01 22:55:00,720,0.2060452800299794,NCS,2
237,605,2023-01-01 10:15:00,720,0.2627282955291645,MCS,2
238,606,2023-01-01 17:55:00,840,0.06157215521980152,NCS,3
239,607,2023-01-01 20:10:00,600,0.22170685981761606,NCS,1
240,609,2023-01-01 15:50:00,720,0.18720558481704608,MCS,2
241,610,2023-01-01 13:45:00,600,0.3475291672190467,MCS,1
242,611,2023-01-01 23:10:00,600,0.3393687569063371,NCS,1
243,613,2023-01-01 19:10:00,600,0.17475033710458654,MCS,1
244,614,2023-01-01 20:45:00,600,0.0699469236776824,NCS,1
245,615,2023-01-01 19:10:00,960,0.22564098583901582,MCS,4
246,616,2023-01-01 21:00:00,960,0.15840190343482816,NCS,4
247,617,2023-01-01 17:45:00,720,0.1436635065225164,NCS,2
248,618,2023-01-01 20:15:00,840,0.25240994678271206,NCS,3
249,619,2023-01-01 20:30:00,960,0.12791239507885796,MCS,4
250,620,2023-01-01 19:40:00,840,0.31273652782795364,NCS,3
251,621,2023-01-01 17:25:00,960,0.34572036226260316,MCS,4
252,622,2023-01-01 20:50:00,960,0.24020667882780938,NCS,4
253,623,2023-01-01 18:20:00,960,0.11400089499580646,NCS,4
254,624,2023-01-01 20:55:00,720,0.32461075587362526,MCS,2
255,626,2023-01-01 22:55:00,600,0.30287747314409635,NCS,1
256,628,2023-01-01 11:30:00,840,0.2046678851861476,MCS,3
257,630,2023-01-01 10:35:00,960,0.06390183033498376,MCS,4
258,631,2023-01-01 19:45:00,960,0.1387519772407932,NCS,4
259,632,2023-01-01 15:30:00,840,0.3431171519063129,MCS,3
260,635,2023-01-01 10:50:00,960,0.27012092195656945,MCS,4
261,636,2023-01-01 18:20:00,600,0.10995078278487674,NCS,1
262,638,2023-01-01 12:10:00,720,0.2545516639548232,MCS,2
263,641,2023-01-01 11:45:00,720,0.300791055741072,MCS,2
264,642,2023-01-01 15:20:00,600,0.3195470566308232,MCS,1
265,643,2023-01-01 18:15:00,720,0.3925617746527003,NCS,2
266,644,2023-01-01 12:50:00,600,0.2469748518741453,MCS,1
267,645,2023-01-01 18:20:00,960,0.17095445608121657,NCS,4
268,647,2023-01-01 13:55:00,720,0.11709004164586488,MCS,2
269,648,2023-01-01 22:30:00,720,0.09839641714938788,NCS,2
270,649,2023-01-01 17:35:00,720,0.20179117829902488,MCS,2
271,650,2023-01-01 21:10:00,840,0.2530586674091957,MCS,3
272,651,2023-01-01 22:00:00,720,0.079586640716391,NCS,2
273,652,2023-01-01 19:20:00,840,0.2838848320781932,NCS,3
274,653,2023-01-01 11:35:00,600,0.29348929231151555,MCS,1
275,654,2023-01-01 19:25:00,840,0.3728903184247467,NCS,3
276,655,2023-01-01 19:10:00,840,0.1980833002178099,MCS,3
277,657,2023-01-01 11:45:00,720,0.3332402053818168,MCS,2
278,658,2023-01-01 12:10:00,720,0.14892831913121685,MCS,2
279,659,2023-01-01 23:10:00,600,0.3448318501300851,NCS,1
280,660,2023-01-01 18:55:00,600,0.20376736097907105,NCS,1
281,662,2023-01-01 18:30:00,720,0.2526422518757643,NCS,2
282,663,2023-01-01 21:20:00,840,0.3401233646801048,NCS,3
283,665,2023-01-01 18:40:00,600,0.16721011043987172,NCS,1
284,666,2023-01-01 13:05:00,840,0.12243805757874958,MCS,3
285,667,2023-01-01 19:05:00,600,0.3206623491034372,MCS,1
286,668,2023-01-01 21:35:00,840,0.06915025635804556,MCS,3
287,669,2023-01-01 18:20:00,600,0.3989200248805933,NCS,1
288,671,2023-01-01 17:25:00,720,0.33954715126668694,MCS,2
289,673,2023-01-01 20:50:00,600,0.08398061563000103,NCS,1
290,674,2023-01-01 10:35:00,960,0.1001737011210585,MCS,4
291,675,2023-01-01 13:50:00,960,0.397709346425938,MCS,4
292,676,2023-01-01 19:25:00,960,0.09975340292713201,NCS,4
293,679,2023-01-01 19:15:00,600,0.10405949911184419,NCS,1
294,680,2023-01-01 20:35:00,840,0.07406442450869834,NCS,3
295,681,2023-01-01 20:40:00,600,0.2824275682103871,NCS,1
296,682,2023-01-01 19:35:00,840,0.31067817707542955,MCS,3
297,683,2023-01-01 18:35:00,600,0.32786857736275404,NCS,1
298,684,2023-01-01 11:40:00,720,0.17297478429362956,MCS,2
299,685,2023-01-01 21:55:00,600,0.06734961103603264,NCS,1
300,686,2023-01-01 21:05:00,600,0.26363991719001006,NCS,1
301,687,2023-01-01 22:00:00,960,0.18939614186567522,NCS,4
302,688,2023-01-01 21:05:00,960,0.21711507053409423,NCS,4
303,690,2023-01-01 12:20:00,720,0.27574360595677444,MCS,2
304,691,2023-01-01 12:15:00,840,0.2118243768624351,MCS,3
305,692,2023-01-01 12:50:00,720,0.22077252797762542,MCS,2
306,694,2023-01-01 11:20:00,840,0.3354021167896571,MCS,3
307,695,2023-01-01 21:35:00,720,0.1788001135144362,NCS,2
308,697,2023-01-01 21:55:00,600,0.28394880146700174,NCS,1
309,698,2023-01-01 21:35:00,960,0.34931444058358735,NCS,4
310,699,2023-01-01 18:25:00,600,0.20686693754305718,MCS,1
311,701,2023-01-01 20:55:00,840,0.12313162644776288,NCS,3
312,702,2023-01-01 12:40:00,600,0.3463407456671769,MCS,1
313,703,2023-01-01 22:20:00,960,0.053934373471208844,NCS,4
314,704,2023-01-01 14:05:00,600,0.3335121326714212,MCS,1
315,705,2023-01-01 18:35:00,960,0.1726018682442533,MCS,4
316,706,2023-01-01 14:35:00,960,0.15490313747445084,MCS,4
317,707,2023-01-01 20:15:00,960,0.2210562632480173,NCS,4
318,708,2023-01-01 19:30:00,960,0.14605183540619526,NCS,4
319,709,2023-01-01 15:20:00,960,0.11441999786426595,MCS,4
320,710,2023-01-01 13:30:00,720,0.11915352431807104,MCS,2
321,711,2023-01-01 18:20:00,840,0.1103957010396993,MCS,3
322,712,2023-01-01 19:05:00,720,0.23519952349882478,NCS,2
323,714,2023-01-01 21:25:00,840,0.16901320706435502,NCS,3
324,715,2023-01-01 11:00:00,960,0.33927813664960565,MCS,4
325,716,2023-01-01 23:40:00,720,0.2682181323760068,NCS,2
326,718,2023-01-01 14:05:00,600,0.22427840034293367,MCS,1
327,719,2023-01-01 10:00:00,720,0.07345253666358117,MCS,2
328,721,2023-01-01 15:40:00,600,0.10916032685794207,MCS,1
329,722,2023-01-01 14:15:00,960,0.08050738435949922,MCS,4
330,723,2023-01-01 23:15:00,600,0.23290905320438282,NCS,1
331,724,2023-01-01 10:00:00,600,0.24253699059412864,MCS,1
332,726,2023-01-01 21:00:00,960,0.2005260769707512,MCS,4
333,727,2023-01-01 20:05:00,960,0.19130124481184735,NCS,4
334,728,2023-01-01 12:00:00,960,0.08829907699444142,MCS,4
335,729,2023-01-01 19:15:00,840,0.20461616098317453,MCS,3
336,730,2023-01-01 10:55:00,960,0.35166617601476274,MCS,4
337,731,2023-01-01 23:55:00,960,0.2357776200876583,NCS,4
338,732,2023-01-01 16:55:00,840,0.24468100438306045,MCS,3
339,733,2023-01-01 18:25:00,840,0.22766654337234876,NCS,3
340,734,2023-01-01 16:55:00,960,0.20505526267392826,MCS,4
341,735,2023-01-01 13:25:00,960,0.2242847979210063,MCS,4
342,736,2023-01-01 20:15:00,600,0.2290589363904022,NCS,1
343,738,2023-01-01 18:40:00,960,0.30410640217000445,NCS,4
344,739,2023-01-01 10:40:00,600,0.3818713364131276,MCS,1
345,740,2023-01-01 20:55:00,720,0.0829787241517734,NCS,2
346,742,2023-01-01 23:20:00,840,0.2071517003472551,NCS,3
347,743,2023-01-01 13:05:00,600,0.07468932188292124,MCS,1
348,744,2023-01-01 20:40:00,600,0.26850743808467736,MCS,1
349,745,2023-01-01 10:15:00,720,0.3098168997317644,MCS,2
350,747,2023-01-01 13:15:00,960,0.2258571095833971,MCS,4
351,748,2023-01-01 19:20:00,600,0.10353170936012851,MCS,1
352,749,2023-01-01 19:35:00,720,0.1372354526392941,NCS,2
353,750,2023-01-01 10:45:00,720,0.30680623455144107,MCS,2
354,753,2023-01-01 09:55:00,840,0.3309274196938756,MCS,3
355,754,2023-01-01 18:40:00,960,0.35546826729676845,NCS,4
356,755,2023-01-01 17:30:00,840,0.3808817034570208,MCS,3
357,756,2023-01-01 18:30:00,960,0.2937241490294835,NCS,4
358,757,2023-01-01 18:25:00,600,0.11897418231203573,NCS,1
359,758,2023-01-01 09:55:00,840,0.2770465075200051,MCS,3
360,760,2023-01-01 21:00:00,840,0.2637060779542929,NCS,3
361,761,2023-01-01 21:30:00,600,0.34083089918741827,NCS,1
362,762,2023-01-01 21:05:00,960,0.35570349102415344,MCS,4
363,763,2023-01-01 23:10:00,600,0.36168855138708755,NCS,1
364,764,2023-01-01 16:50:00,720,0.30231243467961,MCS,2
365,765,2023-01-01 16:20:00,720,0.2714299288792821,MCS,2
366,766,2023-01-01 10:10:00,960,0.3105119804122475,MCS,4
367,767,2023-01-01 11:10:00,960,0.07607386360694209,MCS,4
368,768,2023-01-01 11:40:00,600,0.0844889792124488,MCS,1
369,769,2023-01-01 12:50:00,840,0.2905115112713435,MCS,3
370,770,2023-01-01 21:50:00,720,0.3867814127847295,NCS,2
371,771,2023-01-01 14:20:00,600,0.2603031191913289,MCS,1
372,772,2023-01-01 15:30:00,840,0.3424959603244844,MCS,3
373,773,2023-01-01 23:20:00,600,0.26534118702953424,NCS,1
374,774,2023-01-01 21:35:00,600,0.17434000433128605,NCS,1
375,775,2023-01-01 14:15:00,720,0.2080061154881564,MCS,2
376,776,2023-01-01 21:00:00,720,0.12272560596407396,NCS,2
377,777,2023-01-01 10:55:00,960,0.21500104668185932,MCS,4
378,778,2023-01-01 19:55:00,720,0.3283024690249443,MCS,2
379,779,2023-01-01 09:50:00,840,0.05442178717857326,MCS,3
380,781,2023-01-01 14:15:00,960,0.1271545783097432,MCS,4
381,782,2023-01-01 10:10:00,840,0.3799022351165832,MCS,3
382,783,2023-01-01 12:25:00,600,0.22488093908821627,MCS,1
383,784,2023-01-01 15:55:00,720,0.2926832385977512,MCS,2
384,785,2023-01-01 10:40:00,840,0.3338194426299154,MCS,3
385,787,2023-01-01 19:35:00,840,0.33672923063226123,MCS,3
386,788,2023-01-01 18:50:00,600,0.2839714373274875,MCS,1
387,789,2023-01-01 18:20:00,840,0.2085676887511007,MCS,3
388,790,2023-01-01 19:00:00,840,0.33464432797124605,NCS,3
389,791,2023-01-01 20:25:00,720,0.07210942034538721,MCS,2
390,792,2023-01-01 12:05:00,720,0.08481200112681686,MCS,2
391,793,2023-01-01 20:10:00,600,0.36836963614956914,MCS,1
392,794,2023-01-01 14:20:00,840,0.2605698113491174,MCS,3
393,795,2023-01-01 21:35:00,960,0.06363306515147324,MCS,4
394,796,2023-01-01 17:30:00,720,0.15138415142822975,MCS,2
395,797,2023-01-01 20:40:00,840,0.3705038615694116,MCS,3
396,798,2023-01-01 19:15:00,840,0.35816953287063846,MCS,3
397,799,2023-01-01 21:20:00,840,0.2686855779619774,NCS,3
398,800,2023-01-01 19:25:00,840,0.18107697930652383,MCS,3
399,801,2023-01-01 11:20:00,960,0.10003925028709945,MCS,4
400,802,2023-01-01 11:00:00,840,0.22830297126730603,MCS,3
401,803,2023-01-01 13:30:00,600,0.3708258536621167,MCS,1
402,804,2023-01-01 18:30:00,720,0.09760758620927931,NCS,2
403,805,2023-01-01 18:15:00,600,0.14231322874194807,NCS,1
404,806,2023-01-01 19:25:00,960,0.18585387817867072,MCS,4
405,807,2023-01-01 21:35:00,960,0.12372008070240682,NCS,4
406,808,2023-01-01 20:55:00,840,0.11330937681028962,NCS,3
407,809,2023-01-01 22:50:00,720,0.19025792011162262,NCS,2
408,810,2023-01-01 22:05:00,600,0.10581322021707092,NCS,1
